	1h	1h	
		1h	
16.594039449	1270.8	0.102167182662539	1059
16.620300014	1254	0.087719298245614	1045
16.646560579	1250.4	0.0846233230134159	1042
16.672821144	1269.6	0.101135190918473	1058
16.699081709	1256.4	0.0897832817337461	1047
16.725342274	1248	0.0825593395252838	1040
16.751602839	1262.4	0.0949432404540764	1052
16.777863404	1263.6	0.0959752321981424	1053
16.804123969	1222.8	0.0608875128998968	1019
16.830384534	1353.6	0.173374613003096	1128
16.856645099	1292.4	0.120743034055728	1077
16.882905664	1216.8	0.0557275541795666	1014
16.909166229	1296	0.123839009287926	1080
16.935426794	1214.4	0.0536635706914345	1012
16.961687359	1287.6	0.116615067079463	1073
16.987947924	1288.8	0.117647058823529	1074
17.014208489	1297.2	0.124871001031992	1081
17.040469054	1292.4	0.120743034055728	1077
17.066729619	1179.6	0.0237358101135191	983
17.092990184	1244.4	0.0794633642930856	1037
17.119250749	1239.6	0.0753353973168215	1033
17.145511314	1284	0.113519091847265	1070
17.171771879	1267.2	0.0990712074303405	1056
17.198032444	1198.8	0.0402476780185759	999
17.224293009	1309.2	0.135190918472652	1091
17.250553575	1255.2	0.0887512899896801	1046
17.27681414	1224	0.0619195046439628	1020
17.303074705	1286.4	0.115583075335397	1072
17.32933527	1208.4	0.0485036119711042	1007
17.355595835	1234.8	0.0712074303405573	1029
17.3818564	1293.6	0.121775025799794	1078
17.408116965	1263.6	0.0959752321981424	1053
17.43437753	1213.2	0.0526315789473684	1011
17.460638095	1306.8	0.13312693498452	1089
17.48689866	1212	0.0515995872033024	1010
17.513159225	1328.4	0.151702786377709	1107
17.53941979	1232.4	0.0691434468524252	1027
17.565680355	1219.2	0.0577915376676987	1016
17.59194092	1206	0.0464396284829721	1005
17.618201485	1184.4	0.0278637770897833	987
17.64446205	1244.4	0.0794633642930856	1037
17.670722615	1218	0.0567595459236326	1015
17.69698318	1294.8	0.12280701754386	1079
17.723243745	1204.8	0.0454076367389061	1004
17.74950431	1240.8	0.0763673890608875	1034
17.775764875	1210.8	0.0505675954592363	1009
17.80202544	1279.2	0.109391124871001	1066
17.828286005	1290	0.118679050567595	1075
17.85454657	1306.8	0.13312693498452	1089
17.880807135	1231.2	0.0681114551083591	1026
17.9070677	1178.4	0.022703818369453	982
17.933328265	1326	0.149638802889577	1105
17.95958883	1230	0.0670794633642931	1025
17.985849395	1210.8	0.0505675954592363	1009
18.01210996	1274.4	0.105263157894737	1062
18.038370525	1263.6	0.0959752321981424	1053
18.06463109	1297.2	0.124871001031992	1081
18.090891655	1227.6	0.065015479876161	1023
18.11715222	1240.8	0.0763673890608875	1034
18.143412785	1340.4	0.162022703818369	1117
18.16967335	1195.2	0.0371517027863777	996
18.195933915	1182	0.0257997936016512	985
18.22219448	1273.2	0.104231166150671	1061
18.248455045	1280.4	0.110423116615067	1067
18.27471561	1197.6	0.0392156862745098	998
18.300976175	1204.8	0.0454076367389061	1004
18.32723674	1227.6	0.065015479876161	1023
18.353497305	1186.8	0.0299277605779154	989
18.37975787	1250.4	0.0846233230134159	1042
18.406018435	1159.2	0.00619195046439628	966
18.432279	1304.4	0.131062951496388	1087
18.458539565	1240.8	0.0763673890608875	1034
18.48480013	1332	0.154798761609907	1110
18.511060695	1224	0.0619195046439628	1020
18.53732126	1293.6	0.121775025799794	1078
18.563581825	1262.4	0.0949432404540764	1052
18.58984239	1167.6	0.0134158926728586	973
18.616102955	1311.6	0.137254901960784	1093
18.64236352	1226.4	0.0639834881320949	1022
18.668624085	1285.2	0.114551083591331	1071
18.69488465	1233.6	0.0701754385964912	1028
18.721145215	1239.6	0.0753353973168215	1033
18.74740578	1291.2	0.119711042311661	1076
18.773666345	1306.8	0.13312693498452	1089
18.79992691	1260	0.0928792569659443	1050
18.826187475	1268.4	0.100103199174407	1057
18.85244804	1258.8	0.0918472652218782	1049
18.878708605	1240.8	0.0763673890608875	1034
18.90496917	1236	0.0722394220846233	1030
18.931229735	1240.8	0.0763673890608875	1034
18.9574903	1225.2	0.0629514963880289	1021
18.983750865	1278	0.108359133126935	1065
19.01001143	1305.6	0.132094943240454	1088
19.036271995	1310.4	0.136222910216718	1092
19.06253256	1226.4	0.0639834881320949	1022
19.088793125	1279.2	0.109391124871001	1066
19.11505369	1245.6	0.0804953560371517	1038
19.141314255	1185.6	0.0288957688338493	988
19.16757482	1262.4	0.0949432404540764	1052
19.193835385	1180.8	0.0247678018575851	984
19.22009595	1317.6	0.142414860681115	1098
19.246356515	1242	0.0773993808049536	1035
19.27261708	1248	0.0825593395252838	1040
19.298877645	1261.2	0.0939112487100103	1051
19.32513821	1244.4	0.0794633642930856	1037
19.351398775	1262.4	0.0949432404540764	1052
19.37765934	1281.6	0.111455108359133	1068
19.403919905	1224	0.0619195046439628	1020
19.43018047	1238.4	0.0743034055727554	1032
19.456441035	1213.2	0.0526315789473684	1011
19.4827016	1260	0.0928792569659443	1050
19.508962165	1278	0.108359133126935	1065
19.53522273	1231.2	0.0681114551083591	1026
19.561483295	1152	0	960
19.58774386	1236	0.0722394220846233	1030
19.614004425	1270.8	0.102167182662539	1059
19.64026499	1197.6	0.0392156862745098	998
19.666525555	1264.8	0.0970072239422085	1054
19.69278612	1281.6	0.111455108359133	1068
19.719046685	1230	0.0670794633642931	1025
19.74530725	1280.4	0.110423116615067	1067
19.771567815	1215.6	0.0546955624355005	1013
19.79782838	1207.2	0.0474716202270382	1006
19.824088945	1263.6	0.0959752321981424	1053
19.85034951	1243.2	0.0784313725490196	1036
19.876610075	1275.6	0.106295149638803	1063
19.90287064	1317.6	0.142414860681115	1098
19.929131205	1221.6	0.0598555211558307	1018
19.955391771	1201.2	0.0423116615067079	1001
19.981652336	1323.6	0.147574819401445	1103
20.007912901	1174.8	0.0196078431372549	979
20.034173466	1249.2	0.0835913312693498	1041
20.060434031	1263.6	0.0959752321981424	1053
20.086694596	1251.6	0.0856553147574819	1043
20.112955161	1263.6	0.0959752321981424	1053
20.139215726	1250.4	0.0846233230134159	1042
20.165476291	1288.8	0.117647058823529	1074
20.191736856	1232.4	0.0691434468524252	1027
20.217997421	1180.8	0.0247678018575851	984
20.244257986	1232.4	0.0691434468524252	1027
20.270518551	1251.6	0.0856553147574819	1043
20.296779116	1326	0.149638802889577	1105
20.323039681	1249.2	0.0835913312693498	1041
20.349300246	1232.4	0.0691434468524252	1027
20.375560811	1186.8	0.0299277605779154	989
20.401821376	1238.4	0.0743034055727554	1032
20.428081941	1305.6	0.132094943240454	1088
20.454342506	1216.8	0.0557275541795666	1014
20.480603071	1270.8	0.102167182662539	1059
20.506863636	1268.4	0.100103199174407	1057
20.533124201	1233.6	0.0701754385964912	1028
20.559384766	1280.4	0.110423116615067	1067
20.585645331	1267.2	0.0990712074303405	1056
20.611905896	1306.8	0.13312693498452	1089
20.638166461	1227.6	0.065015479876161	1023
20.664427026	1192.8	0.0350877192982456	994
20.690687591	1268.4	0.100103199174407	1057
20.716948156	1279.2	0.109391124871001	1066
20.743208721	1216.8	0.0557275541795666	1014
20.769469286	1243.2	0.0784313725490196	1036
20.795729851	1257.6	0.0908152734778122	1048
20.821990416	1160.4	0.00722394220846233	967
20.848250981	1250.4	0.0846233230134159	1042
20.874511546	1244.4	0.0794633642930856	1037
20.900772111	1263.6	0.0959752321981424	1053
20.927032676	1341.6	0.163054695562435	1118
20.953293241	1204.8	0.0454076367389061	1004
20.979553806	1240.8	0.0763673890608875	1034
21.005814371	1264.8	0.0970072239422085	1054
21.032074936	1279.2	0.109391124871001	1066
21.058335501	1268.4	0.100103199174407	1057
21.084596066	1267.2	0.0990712074303405	1056
21.110856631	1281.6	0.111455108359133	1068
21.137117196	1243.2	0.0784313725490196	1036
21.163377761	1233.6	0.0701754385964912	1028
21.189638326	1306.8	0.13312693498452	1089
21.215898891	1206	0.0464396284829721	1005
21.242159456	1270.8	0.102167182662539	1059
21.268420021	1225.2	0.0629514963880289	1021
21.294680586	1246.8	0.0815273477812177	1039
21.320941151	1244.4	0.0794633642930856	1037
21.347201716	1222.8	0.0608875128998968	1019
21.373462281	1334.4	0.156862745098039	1112
21.399722846	1335.6	0.157894736842105	1113
21.425983411	1288.8	0.117647058823529	1074
21.452243976	1267.2	0.0990712074303405	1056
21.478504541	1335.6	0.157894736842105	1113
21.504765106	1262.4	0.0949432404540764	1052
21.531025671	1242	0.0773993808049536	1035
21.557286236	1218	0.0567595459236326	1015
21.583546801	1227.6	0.065015479876161	1023
21.609807366	1326	0.149638802889577	1105
21.636067931	1174.8	0.0196078431372549	979
21.662328496	1269.6	0.101135190918473	1058
21.688589061	1270.8	0.102167182662539	1059
21.714849626	1246.8	0.0815273477812177	1039
